2016-11-10 16:01:11 - Person List::SearchEngine [id=1, searchEngineName=google, searchEngineURL=http://www.google.co.in/search?q=, resultTag=div, resultAttribute=class, resultTagID=_Oke, TagPosition=0, regexDetails=]
2016-11-10 16:01:11 - Person List::SearchEngine [id=2, searchEngineName=wikipedia, searchEngineURL=http://en.wikipedia.org/wiki/, resultTag=div, resultAttribute=class, resultTagID=mw-body-content, TagPosition=0, regexDetails=]
2016-11-10 16:01:11 - Person List::SearchEngine [id=3, searchEngineName=bing, searchEngineURL=http://www.bing.com/search?q=, resultTag=div, resultAttribute=class, resultTagID=b_entityTP, TagPosition=0, regexDetails=]
2016-11-10 16:01:11 - Person List::SearchEngine [id=4, searchEngineName=yahoo, searchEngineURL=http://search.yahoo.com/search?p=, resultTag=div, resultAttribute=class, resultTagID=right, TagPosition=0, regexDetails=]
2016-11-10 16:01:11 - Person List::SearchEngine [id=5, searchEngineName=duckduckgo, searchEngineURL=http://duckduckgo.com/?q=, resultTag=div, resultAttribute=class, resultTagID=js-sidebar-modules, TagPosition=0, regexDetails=]
2016-11-10 16:05:29 - Person List::SearchEngine [id=1, searchEngineName=google, searchEngineURL=http://www.google.co.in/search?q=, resultTag=div, resultAttribute=class, resultTagID=_Oke, TagPosition=0, regexDetails=]
2016-11-10 16:05:29 - Person List::SearchEngine [id=2, searchEngineName=wikipedia, searchEngineURL=http://en.wikipedia.org/wiki/, resultTag=div, resultAttribute=class, resultTagID=mw-body-content, TagPosition=0, regexDetails=]
2016-11-10 16:05:29 - Person List::SearchEngine [id=3, searchEngineName=bing, searchEngineURL=http://www.bing.com/search?q=, resultTag=div, resultAttribute=class, resultTagID=b_entityTP, TagPosition=0, regexDetails=]
2016-11-10 16:05:29 - Person List::SearchEngine [id=4, searchEngineName=yahoo, searchEngineURL=http://search.yahoo.com/search?p=, resultTag=div, resultAttribute=class, resultTagID=right, TagPosition=0, regexDetails=]
2016-11-10 16:05:29 - Person List::SearchEngine [id=5, searchEngineName=duckduckgo, searchEngineURL=http://duckduckgo.com/?q=, resultTag=div, resultAttribute=class, resultTagID=js-sidebar-modules, TagPosition=0, regexDetails=]
2016-11-10 16:05:40 - Person List::SearchEngine [id=1, searchEngineName=google, searchEngineURL=http://www.google.co.in/search?q=, resultTag=div, resultAttribute=class, resultTagID=_Oke, TagPosition=0, regexDetails=]
2016-11-10 16:05:40 - Person List::SearchEngine [id=2, searchEngineName=wikipedia, searchEngineURL=http://en.wikipedia.org/wiki/, resultTag=div, resultAttribute=class, resultTagID=mw-body-content, TagPosition=0, regexDetails=]
2016-11-10 16:05:40 - Person List::SearchEngine [id=3, searchEngineName=bing, searchEngineURL=http://www.bing.com/search?q=, resultTag=div, resultAttribute=class, resultTagID=b_entityTP, TagPosition=0, regexDetails=]
2016-11-10 16:05:40 - Person List::SearchEngine [id=4, searchEngineName=yahoo, searchEngineURL=http://search.yahoo.com/search?p=, resultTag=div, resultAttribute=class, resultTagID=right, TagPosition=0, regexDetails=]
2016-11-10 16:05:40 - Person List::SearchEngine [id=5, searchEngineName=duckduckgo, searchEngineURL=http://duckduckgo.com/?q=, resultTag=div, resultAttribute=class, resultTagID=js-sidebar-modules, TagPosition=0, regexDetails=]
2016-11-10 16:05:43 - Person List::SearchEngine [id=1, searchEngineName=google, searchEngineURL=http://www.google.co.in/search?q=, resultTag=div, resultAttribute=class, resultTagID=_Oke, TagPosition=0, regexDetails=]
2016-11-10 16:05:43 - Person List::SearchEngine [id=2, searchEngineName=wikipedia, searchEngineURL=http://en.wikipedia.org/wiki/, resultTag=div, resultAttribute=class, resultTagID=mw-body-content, TagPosition=0, regexDetails=]
2016-11-10 16:05:43 - Person List::SearchEngine [id=3, searchEngineName=bing, searchEngineURL=http://www.bing.com/search?q=, resultTag=div, resultAttribute=class, resultTagID=b_entityTP, TagPosition=0, regexDetails=]
2016-11-10 16:05:43 - Person List::SearchEngine [id=4, searchEngineName=yahoo, searchEngineURL=http://search.yahoo.com/search?p=, resultTag=div, resultAttribute=class, resultTagID=right, TagPosition=0, regexDetails=]
2016-11-10 16:05:43 - Person List::SearchEngine [id=5, searchEngineName=duckduckgo, searchEngineURL=http://duckduckgo.com/?q=, resultTag=div, resultAttribute=class, resultTagID=js-sidebar-modules, TagPosition=0, regexDetails=]
